epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,61286.8,1.10018,0.76486,1.28144,0.85685,0.62192,0.7243,0.50927,1.0111,1.46339,1.35048,0.00066175,0.00066175,0.00066175
43,62382.6,1.08373,0.76239,1.28797,0.80392,0.67038,0.73283,0.51246,0.99782,1.47646,1.33451,0.0006535,0.0006535,0.0006535
44,64164,1.07589,0.76294,1.27216,0.83299,0.66817,0.74964,0.52654,0.97999,1.28783,1.32445,0.00064525,0.00064525,0.00064525
45,65858.3,1.05902,0.74539,1.25943,0.79213,0.65641,0.74807,0.53105,0.98734,1.38809,1.33177,0.000637,0.000637,0.000637
46,67242.5,1.05501,0.75308,1.26022,0.85015,0.65955,0.74694,0.52444,0.97811,1.50979,1.3184,0.00062875,0.00062875,0.00062875
47,68471,1.06207,0.7412,1.26339,0.82858,0.65749,0.75354,0.53536,0.98914,1.42804,1.32365,0.0006205,0.0006205,0.0006205
48,69839,1.06542,0.74817,1.26339,0.81588,0.66231,0.74437,0.52515,0.98354,1.63699,1.3146,0.00061225,0.00061225,0.00061225
49,71139.7,1.05158,0.72828,1.25965,0.83346,0.68793,0.74743,0.53215,0.98282,1.71024,1.31986,0.000604,0.000604,0.000604
50,72257.5,1.04488,0.71346,1.2479,0.82741,0.67401,0.74173,0.52536,0.97507,1.31269,1.31665,0.00059575,0.00059575,0.00059575
51,73450.9,1.04939,0.71683,1.2474,0.84087,0.67282,0.73951,0.51677,0.98344,1.52383,1.3219,0.0005875,0.0005875,0.0005875
52,74677.3,1.01158,0.7001,1.23425,0.84312,0.65073,0.74803,0.53218,0.97513,1.36503,1.31947,0.00057925,0.00057925,0.00057925
53,75932.9,1.04066,0.71806,1.24771,0.8112,0.69882,0.74294,0.52425,0.97599,1.36155,1.31373,0.000571,0.000571,0.000571
54,77051.9,1.02434,0.7019,1.23993,0.82102,0.69408,0.74699,0.52833,0.97602,1.57037,1.31818,0.00056275,0.00056275,0.00056275
55,77906.1,1.02095,0.69778,1.23315,0.8579,0.6733,0.7518,0.53316,0.9797,1.3241,1.3052,0.0005545,0.0005545,0.0005545
56,78892.6,1.03466,0.69662,1.23719,0.85847,0.6756,0.75347,0.53617,0.979,1.29637,1.31285,0.00054625,0.00054625,0.00054625
57,80159,0.9974,0.67608,1.21677,0.87306,0.65792,0.76624,0.53744,0.97905,1.47511,1.32635,0.000538,0.000538,0.000538
58,81553.8,1.00528,0.68488,1.22977,0.8484,0.67613,0.75791,0.53516,0.97066,1.54782,1.31729,0.00052975,0.00052975,0.00052975
59,82956.6,1.00014,0.67557,1.22155,0.80088,0.69953,0.74605,0.53377,0.95865,1.2351,1.30232,0.0005215,0.0005215,0.0005215
60,84067,0.99467,0.6606,1.21885,0.84102,0.67563,0.75922,0.53663,0.9713,1.33307,1.31823,0.00051325,0.00051325,0.00051325
61,85170.1,1.00916,0.67087,1.22172,0.8727,0.67734,0.75925,0.54069,0.97433,1.28614,1.30751,0.000505,0.000505,0.000505
62,86229.4,1.00168,0.65407,1.21963,0.85876,0.66594,0.75284,0.5305,0.97722,1.27557,1.31747,0.00049675,0.00049675,0.00049675
63,87204.1,0.99515,0.66347,1.22239,0.80173,0.70094,0.7518,0.52643,0.96744,1.31925,1.31513,0.0004885,0.0004885,0.0004885
64,88625.6,0.99441,0.64583,1.21635,0.81629,0.7145,0.76441,0.54791,0.95836,1.43069,1.30997,0.00048025,0.00048025,0.00048025
65,89971.7,0.98214,0.65323,1.20928,0.83136,0.71238,0.75566,0.54008,0.97071,1.16266,1.31779,0.000472,0.000472,0.000472
66,91524.2,0.98811,0.64378,1.20684,0.84037,0.70136,0.76102,0.54084,0.95488,1.24628,1.30684,0.00046375,0.00046375,0.00046375
67,92946.2,0.97233,0.62877,1.2031,0.83732,0.69549,0.764,0.53941,0.9607,1.34435,1.30694,0.0004555,0.0004555,0.0004555
68,94075.7,0.96552,0.6274,1.19727,0.86036,0.68902,0.76158,0.55029,0.9549,1.11135,1.30281,0.00044725,0.00044725,0.00044725
69,95129.9,0.96874,0.63817,1.21013,0.86153,0.68532,0.75446,0.53704,0.96374,1.18175,1.31006,0.000439,0.000439,0.000439
70,96649.8,0.9685,0.626,1.19793,0.8355,0.69089,0.75564,0.54525,0.9498,1.26089,1.29568,0.00043075,0.00043075,0.00043075
71,97847.5,0.96622,0.6196,1.20188,0.80877,0.69289,0.75736,0.54417,0.95467,1.1543,1.30755,0.0004225,0.0004225,0.0004225
72,99089.8,0.9548,0.62222,1.19496,0.83514,0.67471,0.75704,0.54674,0.95144,1.16524,1.29517,0.00041425,0.00041425,0.00041425
73,100208,0.95342,0.60848,1.18855,0.86414,0.68262,0.76248,0.54881,0.94717,1.23923,1.29061,0.000406,0.000406,0.000406
74,101754,0.94247,0.6083,1.18683,0.87232,0.68223,0.75765,0.54988,0.94919,1.23153,1.29527,0.00039775,0.00039775,0.00039775
75,103270,0.94861,0.60265,1.1834,0.82819,0.68903,0.75462,0.54569,0.95052,1.35083,1.29937,0.0003895,0.0003895,0.0003895
76,104531,0.94283,0.60638,1.18055,0.83449,0.68832,0.75354,0.54293,0.94437,1.24544,1.30003,0.00038125,0.00038125,0.00038125
77,105936,0.9246,0.59823,1.1711,0.87337,0.66261,0.75724,0.54746,0.94406,1.2673,1.29213,0.000373,0.000373,0.000373
78,107270,0.93879,0.58723,1.17502,0.86087,0.68487,0.75354,0.53998,0.94482,1.31364,1.29558,0.00036475,0.00036475,0.00036475
79,108200,0.93894,0.59375,1.17838,0.83855,0.68942,0.75684,0.54949,0.93707,1.24187,1.28609,0.0003565,0.0003565,0.0003565
80,109097,0.93138,0.58668,1.17399,0.80395,0.70011,0.75485,0.54219,0.93865,1.24665,1.28687,0.00034825,0.00034825,0.00034825
81,110055,0.92965,0.59199,1.17339,0.81921,0.70296,0.74932,0.53811,0.94065,1.19764,1.28748,0.00034,0.00034,0.00034
82,110952,0.90238,0.56871,1.15846,0.82069,0.71517,0.75784,0.54784,0.94014,1.23369,1.28959,0.00033175,0.00033175,0.00033175
83,111916,0.91676,0.56773,1.15975,0.83736,0.69792,0.75272,0.54633,0.93817,1.34486,1.28699,0.0003235,0.0003235,0.0003235
84,113245,0.90611,0.56782,1.15867,0.82967,0.70975,0.75868,0.55369,0.9399,1.32587,1.29524,0.00031525,0.00031525,0.00031525
85,114496,0.904,0.56283,1.16095,0.81784,0.70606,0.76032,0.55465,0.95021,1.23031,1.29971,0.000307,0.000307,0.000307
86,115509,0.91585,0.566,1.16869,0.84472,0.70456,0.76177,0.55212,0.94546,1.31512,1.29245,0.00029875,0.00029875,0.00029875
87,116704,0.90573,0.56153,1.15416,0.84937,0.69372,0.75441,0.55352,0.9481,1.25892,1.29866,0.0002905,0.0002905,0.0002905
88,118083,0.89972,0.55952,1.15937,0.84561,0.70178,0.77016,0.55972,0.94948,1.19831,1.30371,0.00028225,0.00028225,0.00028225
89,119041,0.89905,0.55916,1.15872,0.84633,0.71668,0.77165,0.55989,0.94752,1.14153,1.29726,0.000274,0.000274,0.000274
90,119877,0.89071,0.54734,1.15179,0.80692,0.72649,0.76602,0.56299,0.9412,1.14808,1.29601,0.00026575,0.00026575,0.00026575
91,120834,0.89172,0.54374,1.15032,0.81534,0.72074,0.76752,0.56185,0.94013,1.23221,1.29561,0.0002575,0.0002575,0.0002575
92,121797,0.89575,0.5454,1.14907,0.86947,0.68054,0.76588,0.55933,0.94529,1.23808,1.30448,0.00024925,0.00024925,0.00024925
93,123083,0.87447,0.54007,1.14814,0.86487,0.69785,0.76722,0.56036,0.93875,1.23665,1.29452,0.000241,0.000241,0.000241
94,124071,0.87739,0.53374,1.14621,0.83436,0.7044,0.76563,0.5591,0.9453,1.36675,1.30301,0.00023275,0.00023275,0.00023275
95,125231,0.86922,0.53369,1.13748,0.82752,0.72939,0.77033,0.56227,0.93879,1.38901,1.2989,0.0002245,0.0002245,0.0002245
96,126210,0.86611,0.5259,1.13891,0.83344,0.72442,0.76653,0.56031,0.9495,1.29777,1.30892,0.00021625,0.00021625,0.00021625
97,127268,0.86609,0.52556,1.13695,0.82598,0.72415,0.76895,0.56021,0.95008,1.27492,1.31448,0.000208,0.000208,0.000208
98,128639,0.8629,0.51904,1.13269,0.83457,0.71539,0.76839,0.55895,0.94744,1.25676,1.30808,0.00019975,0.00019975,0.00019975
99,129742,0.85754,0.52423,1.13356,0.82361,0.72323,0.76434,0.56094,0.94451,1.24347,1.30512,0.0001915,0.0001915,0.0001915
100,131362,0.8582,0.52255,1.13024,0.81023,0.73176,0.76596,0.56187,0.94482,1.2063,1.30789,0.00018325,0.00018325,0.00018325
101,132778,0.84806,0.51444,1.12278,0.83006,0.71284,0.76605,0.56042,0.94564,1.18356,1.31187,0.000175,0.000175,0.000175
